CollectionDate,VegetationType,Treatments,FCO2,FCH4
2023/04/12,PSLS,R,0.97333299,0.755164497
2023/04/24,PSLS,R,1.158801945,1.06052137
2023/05/18,PSLS,R,5.32690647066667,8.715349217
2023/05/24,PSLS,R,4.25525333333333,2.58167166666667
2023/05/31,PSLS,R,4.96857666666667,0.672146666666667
2023/06/21,PSLS,R,5.826235,4.44399333333333
2023/06/28,PSLS,R,6.65745666666667,5.91835166666667
2023/07/07,PSLS,R,4.61563,7.07546
2023/07/14,PSLS,R,5.395325,6.72402666666667
2023/07/28,PSLS,R,4.79020166666667,9.75921333333333
2023/08/04,PSLS,R,6.937258,3.489036
2023/08/11,PSLS,R,5.914,9.362945
2023/08/18,PSLS,R,4.41256166666667,7.922395
2023/08/30,PSLS,R,4.975775,11.0173683333333
2023/09/10,PSLS,R,3.87662166666667,7.52405666666667
2023/09/30,PSLS,R,3.30313166666667,4.985345
2023/04/12,PSLS,S,1.39383677833333,0.748616318
2023/04/24,PSLS,S,1.96349543666667,0.756111023
2023/05/18,PSLS,S,4.77027820766667,3.238332584
2023/05/24,PSLS,S,4.50097666666667,1.73282833333333
2023/05/31,PSLS,S,5.31189,1.91304666666667
2023/06/21,PSLS,S,5.57362,2.77979333333333
2023/07/07,PSLS,S,5.737595,1.34533666666667
2023/07/14,PSLS,S,9.392685,-0.292018333333333
2023/07/28,PSLS,S,6.39216166666667,1.274205
2023/08/04,PSLS,S,8.18361666666667,1.52555666666667
2023/08/11,PSLS,S,7.94786833333333,0.984066666666667
2023/08/18,PSLS,S,6.897935,0.782646666666667
2023/08/30,PSLS,S,7.14356666666667,1.45861666666667
2023/09/10,PSLS,S,5.69926333333333,1.32573166666667
2023/09/30,PSLS,S,4.141735,1.65881833333333
2023/04/12,PSTS,R,1.30527757833333,-0.167299295
2023/04/24,PSTS,R,1.363075291,0.11343471
2023/05/18,PSTS,R,4.197874535,2.713327262
2023/05/24,PSTS,R,2.562135,0.121843333333333
2023/05/31,PSTS,R,0.887896666666667,0.980718333333333
2023/06/21,PSTS,R,4.49790166666667,-0.434256666666667
2023/06/28,PSTS,R,5.73597333333333,-0.876938333333333
2023/07/07,PSTS,R,4.04518833333333,2.52287333333333
2023/07/14,PSTS,R,5.13550333333333,-1.15398
2023/07/28,PSTS,R,4.38832666666667,-1.071645
2023/08/04,PSTS,R,3.77670333333333,-1.43945
2023/08/11,PSTS,R,5.59759166666667,-2.16400166666667
2023/08/18,PSTS,R,4.31945333333333,-1.627905
2023/08/30,PSTS,R,5.17514166666667,-2.72776
2023/09/10,PSTS,R,4.442555,-2.64245833333333
2023/09/30,PSTS,R,2.738985,-1.30275666666667
2023/04/12,PSTS,S,1.583178594,-0.00864076
2023/04/24,PSTS,S,1.51077823933333,0.155372078
2023/05/18,PSTS,S,6.74763348,4.986053267
2023/05/24,PSTS,S,7.17223166666667,3.5854
2023/05/31,PSTS,S,7.06967333333333,0.668253333333333
2023/06/21,PSTS,S,7.01748166666667,-0.459693333333333
2023/06/28,PSTS,S,8.05187833333333,-0.733173333333333
2023/07/07,PSTS,S,5.62345833333333,-0.988883333333333
2023/07/14,PSTS,S,7.88604333333333,-3.111685
2023/07/28,PSTS,S,7.40477166666667,-2.23770666666667
2023/08/04,PSTS,S,7.29901,-2.74430833333333
2023/08/11,PSTS,S,7.42712166666667,-2.65679166666667
2023/08/18,PSTS,S,7.183285,-2.98764833333333
2023/08/30,PSTS,S,10.7212983333333,-2.96337833333333
2023/09/10,PSTS,S,6.997885,-1.93972666666667
2023/09/30,PSTS,S,6.32548166666667,-2.270965
2023/04/12,PSW,R,0.877753227333333,-0.044001916
2023/04/24,PSW,R,1.10628569766667,1.409401949
2023/05/18,PSW,R,3.65832440033333,0.006938992
2023/05/24,PSW,R,3.82850666666667,0.180743333333333
2023/05/31,PSW,R,4.42856666666667,0.443258333333333
2023/06/21,PSW,R,4.43155333333333,-1.08170666666667
2023/06/28,PSW,R,5.24585166666667,-1.86147
2023/07/07,PSW,R,6.30601166666667,-1.88710666666667
2023/07/14,PSW,R,19.09065,-9.58555
2023/07/28,PSW,R,7.99295833333333,-2.624505
2023/08/04,PSW,R,10.3771416666667,-4.80596333333333
2023/08/11,PSW,R,8.54745166666667,-2.14183333333333
2023/08/18,PSW,R,3.55972333333333,-2.02065833333333
2023/08/30,PSW,R,11.9510283333333,-2.92967
2023/09/10,PSW,R,7.82819666666667,-3.08920666666667
2023/09/30,PSW,R,2.51077666666667,-1.08625333333333
2023/04/12,PSW,S,2.389659313,-2.406111966
2023/04/24,PSW,S,3.30831181,-3.807430517
2023/05/18,PSW,S,4.99463941133333,-2.756033064
2023/05/24,PSW,S,4.49108333333333,-3.39891333333333
2023/05/31,PSW,S,5.02879666666667,-4.36263333333333
2023/06/21,PSW,S,7.63984166666667,-3.411365
2023/06/28,PSW,S,8.31113,-4.38819333333333
2023/07/07,PSW,S,6.52437166666667,-5.86672
2023/07/14,PSW,S,5.41807,-4.351875
2023/07/28,PSW,S,10.1391783333333,-3.76176833333333
2023/08/04,PSW,S,10.67664,-4.34023833333333
2023/08/11,PSW,S,10.55611,-3.844415
2023/08/18,PSW,S,13.02555,-6.54653
2023/08/30,PSW,S,13.8096066666667,-5.47399833333333
2023/09/10,PSW,S,8.39390666666667,-3.78327333333333
2023/09/30,PSW,S,6.86939,-3.29806